site_id,name,label,description,lat,long,creek_id,creek_name
ALH110,Alhambra Creek at F St.,F St.,"Alhambra Creek passes beneath a large footbridge located at the end of F Street. It flows down channel with steep sides populated with lots of foliage including large trees. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",38.00082,-122.12967,ALH,Alhambra Creek
BAX030,Bioswale on Baxter Creek at Booker T. Anderson Community Center,Booker T. Anderson Community Center,A bioswale constructed in 2018 now filters stormwater from the Community Center parking lot through native plants and layers of soil before discharging to Rheem Creek.,37.919164,-122.326242,BAX,Baxter Creek
CEO160,Grayson Creek at Chilpancingo Pkwy.,Chilpancingo Pkwy.,"Grayson Creek flows north continuing along a wide, open channel before flowing under Chilpancingo Parkway. The areas has some tall grass right next to the creek and animals such as fish, waterfowl and even turtles can be found here. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.97511,-122.06583,WAL,Walnut Creek
CEO166,Grayson Creek at Golf Club Rd.,Golf Club Rd.,"Grayson Creek passes under Golf Club Road and into a large, open channel next to the El Tapatio Mexican restaurant and across from Chilpancingo Park. The banks of the creek can be covered in tall plants unless they have been removed. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. Fish and waterfowl are often seen here. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.97201,-122.06616,WAL,Walnut Creek
CEO168,Grayson Creek at Diablo Valley College,Diablo Valley College,"Grayson Creek flows through the eastern part of Diablo Valley College before going under Golf Club Road. The banks are somewhat steep and covered in grass, and the dominant substrate is mainly mud. This site is monitored once or twice a year for temperature, dissolved oxygen, conductivity, pH, and turbidity, in collaboration with environmental science classes at the college. We always take volunteers on our monitoring expeditions, where you'll learn about the equipment we use and do observational assessments.",37.97093,-122.06698,WAL,Walnut Creek
CEO170,Grayson Creek at Pleasant Hill Middle School,Pleasant Hill Middle School,"Grayson Creek flows behind Pleasant Hill Middle School right below an embankment next to the service road. The area is populated by grasses and a large shipping container. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.93614,-122.06498,WAL,Walnut Creek
MSH020,Marsh Creek at Cypress Rd.,Cypress Rd.,"Marsh Creek runs under the old railroad overpass, near the Marsh Creek trail parking lot right off of Cypress Drive (off of E. Cypress Road). This site is currently inactive.",37.99107,-121.6962585,MSH,Marsh Creek
MSH030,Marsh Creek at Delta Rd.,Delta Rd.,Marsh Creek flows underneath the Delta Road Overpass right next to a dirt parking lot. This site is currently inactive.,37.96851,-121.6827774,MSH,Marsh Creek
MSH045,Marsh Creek at Sand Creek,Sand Creek,Marsh Creek flows alongside Island Palm Way just south of Monarch Park. The banks of the creek are mostly concrete riprap. This site is currently inactive.,37.93809,-121.70714,MSH,Marsh Creek
MSH050,Marsh Creek at Deer Creek,Deer Creek,Marsh Creek flows just north of Central Boulevard just along the west side of the Marsh Creek Trail. The banks of the creek are mostly concrete riprap. This site is currently inactive.,37.938629,-121.706873,MSH,Marsh Creek
