site_id,name,label,description,lat,long,creek_id,creek_name,source
WIL070,Wildcat Creek at Alvarado Park,Alvarado Park,"Wildcat Creek is piped under the Alvarado Staging Area before coming out into an open pool area which is used by kids and dogs, and supports a healthy newt population. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. It is the farthest upstream on Wildcat Creek that we monitor, and the bottom of the creek is dominated by large rocks. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.952075,-122.319783333333,WIL,Wildcat Creek,The Watershed Project
WIL060,Wildcat Creek at Vale Rd.,Vale Rd.,"Wildcat Creek passes under Vale Road in a concrete channel, and once a month we monitor on the downstream side for temperature, dissolved oxygen, conductivity, pH, and turbidity. Rocks and cobbles from upstream have been deposited on the bottom of the channel, which also supports a healthy amount of graffiti. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.9532305555556,-122.338558333333,WIL,Wildcat Creek,The Watershed Project
WIL050,Wildcat Creek at Davis Park,Davis Park,"Wildcat Creek passes along the north side of the John Herbert Davis Park and underneath a foot bridge. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. In 2018 we also monitored the site for benthic macroinvertebrates. The sides of the channel here are dominated by dense foliage including vines, bushes, and trees. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.9620055555556,-122.350930555556,WIL,Wildcat Creek,The Watershed Project
WIL040,Wildcat Creek at Verde Elementary,Verde Elementary,"Wildcat Creek passes underneath Giaramita Street, right in front of Verde Elementary School. The Wildcat Creek Trail runs alongside the creek in a large, open area. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. The creek bed is mostly mud and, depending on the time of year, there will be tall grass along the north side of the creek or none at all. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.9606694444444,-122.363666666667,WIL,Wildcat Creek,The Watershed Project
SPA129,San Pablo Creek at Castro Creek Tributary,Castro Creek Tributary,"Castro Creek comes out of the east side of a large, concrete culvert nestled between some houses. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. The creek flows between two concrete walls before flowing onward into a more natural area. Newts can be spotted here during certain times of the year. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.95559,-122.27021,SPA,San Pablo Creek,The Watershed Project
SPA110,San Pablo Creek at Wilkie Creek Tributary,Wilkie Creek Tributary,"Willkie Creek runs through a small park right outside De Anza High School before flowing into two pipes underneath Santa Rita Road. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We also occasionally monitor the site for benthic macroinvertebrates. The creek in this area is dominated by a few large rocks as well as concrete cast to look like sandbags. Grass grows all around this area. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.96885,-122.290519444444,SPA,San Pablo Creek,The Watershed Project
SPA108,San Pablo Creek at Appian Creek Tributary,Appian Creek Tributary,"Appian Creek runs alongside a parking lot and basketball court behind The Boy’s and Girl’s Club on Appian Way. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We also occasionally monitor the site for benthic macroinvertebrates. The south eastern bank of the creek is dominated by dense foliage and tall trees as well as trash. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.9724888888889,-122.30215,SPA,San Pablo Creek,The Watershed Project
SPA103,San Pablo Creek at El Sobrante Library,El Sobrante Library,"San Pablo Creek runs through a dense forest area 75 meters past a gate behind the El Sobrante Library. It is very common to see turkeys and deer in this area, particularly along the creek itself. The creek bed is mostly mud, sand, and gravel. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We also occasionally monitor the site for benthic macroinvertebrates. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.9667083333333,-122.310227777778,SPA,San Pablo Creek,The Watershed Project
SPA260,San Pablo Creek at Orchard Rd.,Orchard Rd.,"San Pablo Creek is piped underneath Orchard Road before coming out into a snug forested area and flowing northwest. The monitoring site is at the bottom of a large, medium-sized boulder pile leading down from the road. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.86399,-122.16773,SPA,San Pablo Creek,The Watershed Project
SPA250,San Pablo Creek at Brookside Rd.,Brookside Rd.,"San Pablo Creek runs along the southern side of the McDonnell Nursery off of Brookside Road. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. The site is dominated by small rocks and foliage. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.86557,-122.17415,SPA,San Pablo Creek,The Watershed Project
SPA230,San Pablo Creek at Caldecott Creek Tributary,Caldecott Creek Tributary,"Caldecott Creek runs directly into San Pablo Creek at this junction located behind the Atma Yoga studio parking area. The creek is lined by medium rocks and large roots belonging to trees. It flows into a large pool which is part of San Pablo Creek.  This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you’ll learn about the equipment we use and do observational assessments.",37.87719,-122.18211,SPA,San Pablo Creek,The Watershed Project
